Statement,Label
Says the Annies List political group supports third-trimester abortions on demand.,FALSE
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,FALSE
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",FALSE
Health care reform legislation is likely to mandate free sex change surgeries.,FALSE
The economic turnaround started at the end of my term.,FALSE
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,FALSE
Jim Dunnam has not lived in the district he represents for years now.,FALSE
"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",FALSE
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",FALSE
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,FALSE
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",FALSE
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",FALSE
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",FALSE
The economy bled $24 billion due to the government shutdown.,FALSE
Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,FALSE
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",FALSE
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,FALSE
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",FALSE
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",FALSE
"Almost 100,000 people left Puerto Rico last year.",FALSE
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,FALSE
The United States has the highest corporate tax rate in the free world.,FALSE
We just had the best year for the auto industry in America in history.,FALSE
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",FALSE
Says Mitt Romney wants to get rid of Planned Parenthood.,FALSE
I dont know who (Jonathan Gruber) is.,FALSE
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,FALSE
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,FALSE
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",FALSE
Youth unemployment in minority communities is about 40 to 45 percent.,FALSE
Says Paul Ryan is still endorsing Trump.,FALSE
"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",FALSE
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,FALSE
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,FALSE
Says Mark Pryor votes with Obama 93 percent of the time.,FALSE
We have a federal government that thinks they have the authority to regulate our toilet seats.,FALSE
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,FALSE
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",FALSE
"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",FALSE
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",FALSE
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,FALSE
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,FALSE
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",FALSE
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,FALSE
We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,FALSE
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,FALSE
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",FALSE
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,FALSE
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,FALSE
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,FALSE
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,FALSE
"Maggie Hassan raised tuition, making it the highest in America.",FALSE
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,FALSE
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",FALSE
"We have towns in West Texas that are out of water, that are having to truck in water.",FALSE
"In Georgia, women earn 82 cents for every dollar earned by men.",FALSE
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,FALSE
"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",FALSE
Sen. Obama's campaign announced that he's choosing his cabinet.,FALSE
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",FALSE
Only 2 percent of public high schools in the country offer PE classes.,FALSE
"Said he's the only Republican candidate ""who's actually turned around a government economy.""",FALSE
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",FALSE
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",FALSE
"Under Mayor Cicilline, [Providence] was a sanctuary city.",FALSE
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,FALSE
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",FALSE
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",FALSE
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,FALSE
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,FALSE
"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",FALSE
"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",FALSE
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",FALSE
The only time in our history when the debt has been higher than this was the end of World War II.,FALSE
The cost of health care is now the single-biggest factor driving down the federal budget deficit.,FALSE
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",FALSE
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,FALSE
Says one out of three U.S. homeless men is a veteran.,FALSE
Says Charlie Crist supports cuts to the Medicare Advantage program.,FALSE
I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,FALSE
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,FALSE
"At some point in their lives, 99% of women use birth control.",FALSE
"In the past 20 years, Egypt has made great strides in political and democratic reform.",FALSE
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,FALSE
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,FALSE
"In Rick Perrys Texas, we import nurses ... from other countries.",FALSE
There is a federal criminal law that says its a crime to transport dentures across state lines.,FALSE
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,FALSE
"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",FALSE
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,FALSE
"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",FALSE
I belong to the AFL-CIO.,FALSE
The insurance commissioner cant do squat about health care.,FALSE
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,FALSE
"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",FALSE
Says David Jolly supports privatizing Social Security.,FALSE
Did you know US population growth is at its lowest since the Great Depression?,FALSE
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",FALSE
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",FALSE
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,FALSE
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,FALSE
"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",FALSE
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",FALSE
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",FALSE
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",FALSE
Sen. Obama has always had a 100 percent prochoice rating.,FALSE
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",FALSE
The (federal) debt is growing by more than $4 billion a day.,FALSE
"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",FALSE
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",FALSE
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,FALSE
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",FALSE
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",FALSE
Says Obama promised unemployment would never go above 8 percent.,FALSE
The economy is creating jobs at the fastest pace since 1999.,FALSE
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,FALSE
"In a majority of states, you can now marry freely, but can still be fired for who you love.",FALSE
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,FALSE
"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",FALSE
"About half of the presidents have been governors; half of them, senators.",FALSE
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",FALSE
"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",FALSE
Says 88 Texas constables have died in the line of duty.,FALSE
"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",FALSE
"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",FALSE
"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",FALSE
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,FALSE
The Air Force wants taxpayers to fund a fantasy football league.,FALSE
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,FALSE
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,FALSE
Some neighborhood schools are closing.,FALSE
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,FALSE
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",FALSE
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",FALSE
Says the U.S. Supreme Court found that Social Security is not guaranteed.,FALSE
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,FALSE
Oregonians have an amazing no-cost way to fight abortion with free political donations,FALSE
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",FALSE
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",FALSE
Newt Gingrichs immigration plan offers a new doorway to amnesty.,FALSE
Mr. Caprio is a career politician who has never worked in the private sector.,FALSE
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",FALSE
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",FALSE
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,FALSE
Donald Trump has said nuclear proliferation is OK.,FALSE
"Hillary Clinton has taken over $800,000 from lobbyists.",FALSE
Barack Obama has never even worked in business.,FALSE
Says the Arizona immigration law expressly bans racial profiling.,FALSE
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,FALSE
"On the VA: Over 300,000 veterans have died waiting for care.",FALSE
Were now spending 42 percent of our economy on government.,FALSE
Rob Cornilles supports privatizing Medicare.,FALSE
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",FALSE
We (Democrats) have made steady progress creating jobs and improving our schools.,FALSE
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,FALSE
"Whether you like to admit it or not, half our general revenue goes to education.",FALSE
Im the only one whos fought against developers draining the Everglades!,FALSE
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,FALSE
