statement,label
Atlanta Tea Party co-founder Debbie Dooley wants gas taxes raised.,TRUE
China owns more of our bonds than do Americans.,TRUE
"NAFTA allows a lot of trucks from Mexico, for example, to leave there and ... drive straight through without even being inspected.",TRUE
"Under the new health care law, the first person (a) patient has to go to is a bureaucrat. That is called a panel.",TRUE
"As a result of welfare reform, poverty levels went down to the lowest level ever for ... African-American children.",TRUE
Wisconsin wages are declining at double the rate of other states.,TRUE
Says Barack Obama said black males are two times more likely to be shot by a law enforcement officer than white males and that is a lie because there is no data.,TRUE
I said no to higher taxes and fees.,TRUE
Governor Palin is the most popular governor in the country.,TRUE
I'm pro-life. He's not.,TRUE
John Mica's brother is an oil lobbyist and his daughter represents the natural gas industry.,TRUE
"Last year, there were an additional 81,000 pages of government regulations. If you stack that up, it would be a three-story building.",TRUE
The largest number of gamblers are from the poorest segments of the population.,TRUE
Says Gov. Rick Scott cut state funding for PBS.,TRUE
Attorney General Eric Holders own Justice Department precleared the voting changes in the 2011 law about early voting in Florida.,TRUE
"The city of Nelson, Ga., is quieter than Mayberry.",TRUE
"Says Chris Christie fired 6,000 teachers.",TRUE
"Currently, it takes up to 25 years to obtain U.S. citizenship legally but the Senate bill would allow immigrants who came to the United States illegally to obtain citizenship in just 13 years.",TRUE
"Homeopathy, acupuncture and aromatherapy have been given elevated legitimacy under the Affordable Care Act.",TRUE
Says Will Hurd cosponsored a bill that would militarize our border and allow 200 miles of new roads to be built in the Big Bend region -- cutting up our beloved park.,TRUE
Attorney general candidate Brad Schimel is in cahoots with Wisconsin Right to Life to make abortion a crime in Wisconsin.,TRUE
The founders of New Hampshire came up with the motto Live Free or Die.,TRUE
Economic Development Commission Executive Director Keith Stokes sent me a letter and he said the taxpayers will never be on the hook for these bonds for 38 Studios.,TRUE
"Bill McCollum explained his lack of action on mortgage fraud by saying, ""You can't do everything.""",TRUE
The United States is behind many countries in Europe in terms of the ability of every kid in America to get ahead.,TRUE
"The Alternative Minimum Tax...was created by Congress in 1969 to affect 155 wealthy Americans. Because it was never indexed for inflation, those original 155 taxpayers has increased to affect about 3.5-million in 2006.",TRUE
Says we are overcharging students . . . to help pay for the health care law.,TRUE
Says Ellen Rosenblum has said over and over again that this is a job where 80 percent of the job is being the governments lawyer.,TRUE
"New Jersey has lost over half of our pharmaceutical jobs to states you know, not low-tax states like in the South, but high-tax states like New York.",TRUE
"If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.",TRUE
The Super Bowl has one of the highest levels of human sex trafficking activity of any event in the country.,TRUE
Says the reforms in state Issue 2 will save taxpayer dollars,TRUE
Says Scott Walker said he wouldnt touch the state civil service system but now supports overhauling it.,TRUE
"Says she couldn't take stimulus money because it required ""universal building codes.""",TRUE
Senate Democrats have never held up a Supreme Court nomination.,TRUE
Almost 10 percent of Canadians came to visit Florida last year ... (Canadians) buy 7.4 percent of our homes in the state.,TRUE
"Regarding the Iraq War, I was the one that said, Dont go, dont do it, youre going to destabilize the Middle East.",TRUE
The Iran deal trusts the Iranians to inspect themselves.,TRUE
More than three-quarters of the oil is gone.,TRUE
Were the only nation in the world that does not use the military to secure our border.,TRUE
We have more natural gas in this country than Saudi Arabia has oil.,TRUE
Massachusetts is reporting a trend far below the national trend in the escalation of health-care costs in this year.,TRUE
Initial efforts to strip airport contractors of their special diversity status has no effect on the contracts or the citys diversity goals.,TRUE
More women were killed by their husbands or boyfriends since Sept. 11 than all the Americans who were killed by 9/11 or in Afghanistan and Iraq.,TRUE
"While states used to have regulatory power over fishing, federal law now regulates down to the tenth of the inch the minimum size of fish that anglers can keep.",TRUE
Social Security took seven years before anybody got the first check.,TRUE
"In most Muslim countries, We cant have a church. Were not able to build synagogues. Its forbidden.",TRUE
Says Barack Obama told the U.S. Coast Guard Academy that the number one threat to the military and the world today is global warming.,TRUE
Says award-winning Milwaukee Public Schools teacher Megan Sampson was laid off because Gov. Scott Walker cut state aid to education.,TRUE
